Leibniz, Multi-Threaded (sec, thread_count_:27, n:3000)  == 0.007381
Leibniz, Multi-Threaded (sec, thread_count_:28, n:3000)  == 0.013444
Leibniz, Multi-Threaded (sec, thread_count_:1, n:4000)  == 0.000028
Leibniz, Multi-Threaded (sec, thread_count_:2, n:4000)  == 0.000551
Leibniz, Multi-Threaded (sec, thread_count_:3, n:4000)  == 0.000813
Leibniz, Multi-Threaded (sec, thread_count_:4, n:4000)  == 0.001145
Leibniz, Multi-Threaded (sec, thread_count_:5, n:4000)  == 0.001454
Leibniz, Multi-Threaded (sec, thread_count_:6, n:4000)  == 0.001761
Leibniz, Multi-Threaded (sec, thread_count_:7, n:4000)  == 0.002066
Leibniz, Multi-Threaded (sec, thread_count_:8, n:4000)  == 0.002334
Leibniz, Multi-Threaded (sec, thread_count_:9, n:4000)  == 0.002591
Leibniz, Multi-Threaded (sec, thread_count_:10, n:4000)  == 0.002902
Leibniz, Multi-Threaded (sec, thread_count_:11, n:4000)  == 0.003210
Leibniz, Multi-Threaded (sec, thread_count_:12, n:4000)  == 0.003515
Leibniz, Multi-Threaded (sec, thread_count_:13, n:4000)  == 0.003778
Leibniz, Multi-Threaded (sec, thread_count_:14, n:4000)  == 0.004027
Leibniz, Multi-Threaded (sec, thread_count_:15, n:4000)  == 0.004277
Leibniz, Multi-Threaded (sec, thread_count_:16, n:4000)  == 0.004541
Leibniz, Multi-Threaded (sec, thread_count_:17, n:4000)  == 0.004789
Leibniz, Multi-Threaded (sec, thread_count_:18, n:4000)  == 0.005041
Leibniz, Multi-Threaded (sec, thread_count_:19, n:4000)  == 0.005382
Leibniz, Multi-Threaded (sec, thread_count_:20, n:4000)  == 0.005703
Leibniz, Multi-Threaded (sec, thread_count_:21, n:4000)  == 0.006024
Leibniz, Multi-Threaded (sec, thread_count_:22, n:4000)  == 0.006306
Leibniz, Multi-Threaded (sec, thread_count_:23, n:4000)  == 0.006558
Leibniz, Multi-Threaded (sec, thread_count_:24, n:4000)  == 0.006810
Leibniz, Multi-Threaded (sec, thread_count_:25, n:4000)  == 0.007070
Leibniz, Multi-Threaded (sec, thread_count_:26, n:4000)  == 0.007360
Leibniz, Multi-Threaded (sec, thread_count_:27, n:4000)  == 0.011291
Leibniz, Multi-Threaded (sec, thread_count_:28, n:4000)  == 0.015124
Leibniz, Multi-Threaded (sec, thread_count_:1, n:5000)  == 0.000032
Leibniz, Multi-Threaded (sec, thread_count_:2, n:5000)  == 0.000473
Leibniz, Multi-Threaded (sec, thread_count_:3, n:5000)  == 0.000800
Leibniz, Multi-Threaded (sec, thread_count_:4, n:5000)  == 0.001123
Leibniz, Multi-Threaded (sec, thread_count_:5, n:5000)  == 0.001364
Leibniz, Multi-Threaded (sec, thread_count_:6, n:5000)  == 0.001626
Leibniz, Multi-Threaded (sec, thread_count_:7, n:5000)  == 0.001880
Leibniz, Multi-Threaded (sec, thread_count_:8, n:5000)  == 0.002132
Leibniz, Multi-Threaded (sec, thread_count_:9, n:5000)  == 0.002385
Leibniz, Multi-Threaded (sec, thread_count_:10, n:5000)  == 0.002637
Leibniz, Multi-Threaded (sec, thread_count_:11, n:5000)  == 0.002916
Leibniz, Multi-Threaded (sec, thread_count_:12, n:5000)  == 0.003160
Leibniz, Multi-Threaded (sec, thread_count_:13, n:5000)  == 0.003423
Leibniz, Multi-Threaded (sec, thread_count_:14, n:5000)  == 0.003690
Leibniz, Multi-Threaded (sec, thread_count_:15, n:5000)  == 0.003983
Leibniz, Multi-Threaded (sec, thread_count_:16, n:5000)  == 0.004285
Leibniz, Multi-Threaded (sec, thread_count_:17, n:5000)  == 0.004547
Leibniz, Multi-Threaded (sec, thread_count_:18, n:5000)  == 0.004808
Leibniz, Multi-Threaded (sec, thread_count_:19, n:5000)  == 0.005086
Leibniz, Multi-Threaded (sec, thread_count_:20, n:5000)  == 0.005352
